,twitter_id,twitter_username,party
466,1342989756611907584,RepBoebert,Republican
467,1344325638983987201,RepKatCammack,Republican
468,1343664721384398849,RepFranklin,Republican
469,1343968646050283522,RepDonaldsPress,Republican
470,1343679195034103808,RepCarlos,Republican
471,1325928411689349120,RepMariaSalazar,Republican
472,1345461797361504259,RepNikema,Democrat
473,1343620645452595200,RepBourdeaux,Democrat
474,1357017361568694274,Rep_Clyde,Republican
475,1344356576786866176,RepMTG,Republican
476,1351966874377056257,RepKahele,Democrat
477,1340783304304410625,RepAshleyHinson,Republican
478,1345807954604412929,RepMMM,Republican
479,1345135363761852416,RepFeenstra,Republican
480,1343578440977494018,RepMarieNewman,Democrat
481,1343656635907125250,RepMaryMiller,Republican
482,1346205046036377601,RepMrvan,Democrat
483,1344845201479663621,RepSpartz,Republican
484,1345825008887721986,RepMann,Republican
485,1345850704800468993,RepLaTurner,Republican
486,1330278736554582016,RepAuchincloss,Democrat
487,1334164871420796928,RepMeijer,Republican
488,1344032292432437248,RepLisaMcClain,Republican
489,1344375287484723205,RepFischbach,Republican
490,1002630999052865536,RepCori,Democrat
491,1344751420139040783,RepRosendale,Republican
492,1348683154815655940,RepDeborahRoss,Democrat
493,1337115670161608712,RepKManning,Democrat
494,1344007696555663360,RepCawthorn,Republican
495,1344416719260016641,RepHerrell,Republican
496,1345147845926670337,RepTeresaLF,Democrat
497,1344349650447433729,RepGarbarino,Republican
498,1344750588026900481,RepMalliotakis,Republican
499,1276403757224546304,RepRitchie,Democrat
500,1344389506963808264,RepBowman,Democrat
501,1345883634046279681,RepMondaire,Democrat
502,1344260196227555334,RepBice,Republican
503,1345788865911656454,RepBentz,Republican
504,1343597700542038017,RepNancyMace,Republican
505,1345787285179162624,RepHarshbarger,Republican
506,1343258042704527362,RepPatFallon,Republican
507,1341120751399809026,RepPfluger,Republican
508,1341903465610686464,RepRonnyJackson,Republican
509,1347318288850825217,RepTroyNehls,Republican
510,1343627416120532992,RepTonyGonzales,Republican
511,1339633259349745670,RepBethVanDuyne,Republican
512,1337452596093587462,RepBlakeMoore,Republican
513,1344481217685692416,RepBurgessOwens,Republican
514,1345536897838436353,RepBobGood,Republican
515,1343646545955213312,RepStricklandWA,Democrat
516,1004891731,RepFitzgerald,Republican
517,1351236267707654145,SenAlexPadilla,Democrat
518,1356714265894408196,SenOssoff,Democrat
519,1352287997853622273,SenatorWarnock,Democrat
520,797201048490430465,RepTenney,Republican
521,1382395679700439041,RepJuliaLetlow,Republican
522,1352760304271241218,RepTroyCarter,Democrat
523,1404519992582942724,Rep_Stansbury,Democrat
524,1366523868253458437,RepEllzey,Republican
525,1456381091598700556,RepShontelBrown,Democrat
526,1457745193197780993,RepMikeCarey,Republican
